零件名称,供应商名称,问题描述,故障类别,故障现象,临时措施1,临时措施2,临时措施3,原因分析1,原因分析2
顶盖内衬总成,中建创业科技有限公司,11月15日，发运场反馈电子元件短路导致功能失效,电气,连接强度不足,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
车门铰链总成,新格林耐特网络有限公司,01月20日，发运场反馈焊接虚焊导致结构强度不足,电气,功能失效,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
车门铰链总成,天益传媒有限公司,02月21日，焊装车间反馈表面涂层脱落影响外观质量,外观,外观缺陷,1. 启动整车排查，排查168台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
线束总成,襄樊地球村网络有限公司,12月18日，总装车间反馈表面涂层脱落影响外观质量,外观,间隙超差,1. 立即隔离可疑批次，共隔离176件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
一体式后车架组件,MBP软件网络有限公司,10月20日，总装车间反馈尺寸超差导致装配间隙过大,功能,异响,1. 立即隔离可疑批次，共隔离89件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
一体式后车架组件,开发区世创科技有限公司,05月24日，焊装车间反馈密封条开胶导致漏水风险,功能,间隙超差,1. 立即隔离可疑批次，共隔离186件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
线束总成,MBP软件科技有限公司,04月15日，总装车间反馈表面涂层脱落影响外观质量,电气,功能失效,1. 启动整车排查，排查130台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
一体式后车架组件,九方信息有限公司,08月30日，涂装车间反馈焊接虚焊导致结构强度不足,尺寸,间隙超差,1. 立即隔离可疑批次，共隔离489件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
ECU控制器,良诺科技有限公司,12月17日，焊装车间反馈表面涂层脱落影响外观质量,尺寸,功能失效,1. 立即隔离可疑批次，共隔离470件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
ECU控制器,易动力科技有限公司,03月18日，总装车间反馈密封条开胶导致漏水风险,外观,异响,1. 启动整车排查，排查57台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
顶盖内衬总成,富罳科技有限公司,10月19日，焊装车间反馈密封条开胶导致漏水风险,功能,外观缺陷,1. 启动整车排查，排查86台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
一体式后车架组件,商软冠联科技有限公司,08月04日，焊装车间反馈密封条开胶导致漏水风险,电气,间隙超差,1. 启动整车排查，排查196台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
顶盖内衬总成,盟新科技有限公司,11月27日，涂装车间反馈焊接虚焊导致结构强度不足,电气,功能失效,1. 立即隔离可疑批次，共隔离124件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
一体式后车架组件,思优网络有限公司,06月17日，涂装车间反馈焊接虚焊导致结构强度不足,外观,连接强度不足,1. 立即隔离可疑批次，共隔离212件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
车门铰链总成,襄樊地球村网络有限公司,11月12日，焊装车间反馈密封条开胶导致漏水风险,尺寸,外观缺陷,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
车门铰链总成,襄樊地球村科技有限公司,05月20日，焊装车间反馈电子元件短路导致功能失效,功能,异响,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
车门铰链总成,盟新信息有限公司,09月03日，焊装车间反馈电子元件短路导致功能失效,尺寸,外观缺陷,1. 立即隔离可疑批次，共隔离457件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
车门铰链总成,创联世纪传媒有限公司,01月31日，焊装车间反馈焊接虚焊导致结构强度不足,尺寸,功能失效,1. 启动整车排查，排查198台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
顶盖内衬总成,天开科技有限公司,02月23日，焊装车间反馈尺寸超差导致装配间隙过大,外观,外观缺陷,1. 启动整车排查，排查200台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
线束总成,巨奥传媒有限公司,03月13日，发运场反馈密封条开胶导致漏水风险,功能,异响,1. 启动整车排查，排查128台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
车门铰链总成,快讯传媒有限公司,10月06日，涂装车间反馈电子元件短路导致功能失效,功能,外观缺陷,1. 立即隔离可疑批次，共隔离289件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
线束总成,凌颖信息科技有限公司,11月29日，焊装车间反馈表面涂层脱落影响外观质量,外观,功能失效,1. 立即隔离可疑批次，共隔离196件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
车门铰链总成,雨林木风计算机科技有限公司,10月17日，总装车间反馈表面涂层脱落影响外观质量,功能,连接强度不足,1. 启动整车排查，排查184台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
线束总成,合联电子信息有限公司,04月02日，总装车间反馈焊接虚焊导致结构强度不足,结构,功能失效,1. 立即隔离可疑批次，共隔离237件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
线束总成,易动力传媒有限公司,07月22日，发运场反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,外观,功能失效,1. 立即隔离可疑批次，共隔离495件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
线束总成,太极科技有限公司,12月20日，焊装车间反馈密封条开胶导致漏水风险,电气,功能失效,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
顶盖内衬总成,戴硕电子传媒有限公司,12月10日，发运场反馈密封条开胶导致漏水风险,电气,功能失效,1. 启动整车排查，排查147台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
线束总成,联通时科网络有限公司,01月29日，涂装车间反馈表面涂层脱落影响外观质量,外观,连接强度不足,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
线束总成,兰金电子信息有限公司,07月14日，焊装车间反馈焊接虚焊导致结构强度不足,电气,异响,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
线束总成,双敏电子科技有限公司,08月30日，商品化区域反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,尺寸,间隙超差,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
线束总成,鸿睿思博科技有限公司,08月04日，涂装车间反馈表面涂层脱落影响外观质量,功能,功能失效,1. 启动整车排查，排查124台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
顶盖内衬总成,思优信息有限公司,04月21日，商品化区域反馈表面涂层脱落影响外观质量,电气,功能失效,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
线束总成,明腾信息有限公司,05月14日，发运场反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,功能,间隙超差,1. 启动整车排查，排查174台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
车门铰链总成,太极信息有限公司,12月06日，涂装车间反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,电气,间隙超差,1. 立即隔离可疑批次，共隔离453件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
车门铰链总成,巨奥科技有限公司,09月18日，涂装车间反馈密封条开胶导致漏水风险,功能,间隙超差,1. 启动整车排查，排查134台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
一体式后车架组件,鑫博腾飞传媒有限公司,12月17日，商品化区域反馈密封条开胶导致漏水风险,尺寸,异响,1. 立即隔离可疑批次，共隔离439件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
ECU控制器,泰麒麟科技有限公司,06月14日，总装车间反馈尺寸超差导致装配间隙过大,功能,间隙超差,1. 立即隔离可疑批次，共隔离177件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
线束总成,飞海科技网络有限公司,02月15日，焊装车间反馈焊接虚焊导致结构强度不足,电气,连接强度不足,1. 立即隔离可疑批次，共隔离471件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
顶盖内衬总成,数字100信息有限公司,08月20日，涂装车间反馈密封条开胶导致漏水风险,电气,异响,1. 启动整车排查，排查57台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
车门铰链总成,盟新信息有限公司,01月23日，商品化区域反馈密封条开胶导致漏水风险,尺寸,异响,1. 立即隔离可疑批次，共隔离241件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
一体式后车架组件,万迅电脑科技有限公司,04月18日，总装车间反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,功能,功能失效,1. 启动整车排查，排查196台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
线束总成,思优科技有限公司,01月06日，焊装车间反馈表面涂层脱落影响外观质量,尺寸,功能失效,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
顶盖内衬总成,雨林木风计算机网络有限公司,08月01日，涂装车间反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,电气,连接强度不足,1. 启动整车排查，排查169台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
车门铰链总成,通际名联科技有限公司,01月20日，商品化区域反馈尺寸超差导致装配间隙过大,外观,异响,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
顶盖内衬总成,昂歌信息传媒有限公司,07月15日，商品化区域反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,外观,连接强度不足,1. 立即隔离可疑批次，共隔离387件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
ECU控制器,昂歌信息网络有限公司,10月25日，总装车间反馈表面涂层脱落影响外观质量,功能,间隙超差,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
ECU控制器,艾提科信网络有限公司,02月14日，发运场反馈尺寸超差导致装配间隙过大,电气,异响,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
线束总成,昂歌信息信息有限公司,07月25日，涂装车间反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,尺寸,异响,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
线束总成,昂歌信息传媒有限公司,09月09日，总装车间反馈表面涂层脱落影响外观质量,结构,连接强度不足,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
顶盖内衬总成,鸿睿思博科技有限公司,11月01日，涂装车间反馈焊接虚焊导致结构强度不足,功能,异响,1. 启动整车排查，排查174台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
ECU控制器,维旺明网络有限公司,11月06日，商品化区域反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,外观,功能失效,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
一体式后车架组件,MBP软件网络有限公司,02月27日，发运场反馈焊接虚焊导致结构强度不足,电气,间隙超差,1. 启动整车排查，排查172台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
顶盖内衬总成,同兴万点信息有限公司,10月23日，发运场反馈尺寸超差导致装配间隙过大,功能,异响,1. 启动整车排查，排查148台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
线束总成,国讯信息有限公司,10月06日，总装车间反馈焊接虚焊导致结构强度不足,尺寸,功能失效,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
一体式后车架组件,和泰网络有限公司,09月05日，商品化区域反馈焊接虚焊导致结构强度不足,结构,功能失效,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
ECU控制器,迪摩传媒有限公司,09月29日，发运场反馈表面涂层脱落影响外观质量,结构,外观缺陷,1. 启动整车排查，排查129台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
一体式后车架组件,新格林耐特科技有限公司,01月11日，焊装车间反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,电气,外观缺陷,1. 立即隔离可疑批次，共隔离357件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
ECU控制器,九方网络有限公司,10月07日，商品化区域反馈表面涂层脱落影响外观质量,结构,异响,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
顶盖内衬总成,飞海科技科技有限公司,10月19日，焊装车间反馈电子元件短路导致功能失效,尺寸,间隙超差,1. 立即隔离可疑批次，共隔离231件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
车门铰链总成,浦华众城信息有限公司,06月29日，总装车间反馈表面涂层脱落影响外观质量,尺寸,外观缺陷,1. 立即隔离可疑批次，共隔离318件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
线束总成,创汇信息有限公司,07月21日，焊装车间反馈尺寸超差导致装配间隙过大,功能,外观缺陷,1. 启动整车排查，排查80台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
一体式后车架组件,明腾科技有限公司,07月19日，焊装车间反馈焊接虚焊导致结构强度不足,电气,功能失效,1. 启动整车排查，排查88台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
线束总成,天益科技有限公司,04月02日，总装车间反馈电子元件短路导致功能失效,电气,功能失效,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
线束总成,趋势信息有限公司,04月02日，商品化区域反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,结构,连接强度不足,1. 立即隔离可疑批次，共隔离105件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
车门铰链总成,太极科技有限公司,07月29日，总装车间反馈尺寸超差导致装配间隙过大,尺寸,连接强度不足,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
顶盖内衬总成,雨林木风计算机信息有限公司,12月25日，焊装车间反馈电子元件短路导致功能失效,结构,间隙超差,1. 启动整车排查，排查65台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
车门铰链总成,中建创业网络有限公司,03月03日，涂装车间反馈焊接虚焊导致结构强度不足,尺寸,异响,1. 立即隔离可疑批次，共隔离218件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
线束总成,华成育卓科技有限公司,04月17日，总装车间反馈尺寸超差导致装配间隙过大,功能,功能失效,1. 立即隔离可疑批次，共隔离249件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
ECU控制器,MBP软件传媒有限公司,09月01日，焊装车间反馈焊接虚焊导致结构强度不足,外观,间隙超差,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
ECU控制器,华远软件科技有限公司,03月16日，发运场反馈电子元件短路导致功能失效,外观,间隙超差,1. 启动整车排查，排查72台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
线束总成,新格林耐特传媒有限公司,09月23日，总装车间反馈焊接虚焊导致结构强度不足,外观,连接强度不足,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
ECU控制器,七喜科技有限公司,11月02日，涂装车间反馈电子元件短路导致功能失效,尺寸,异响,1. 立即隔离可疑批次，共隔离436件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
顶盖内衬总成,佳禾科技有限公司,12月27日，总装车间反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,结构,异响,1. 启动整车排查，排查136台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
车门铰链总成,华泰通安传媒有限公司,11月30日，总装车间反馈电子元件短路导致功能失效,外观,异响,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
线束总成,群英信息有限公司,03月23日，涂装车间反馈尺寸超差导致装配间隙过大,外观,异响,1. 启动整车排查，排查165台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
线束总成,良诺网络有限公司,04月09日，涂装车间反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,外观,功能失效,1. 立即隔离可疑批次，共隔离310件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
线束总成,恩悌信息有限公司,09月17日，焊装车间反馈焊接虚焊导致结构强度不足,外观,外观缺陷,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
线束总成,浙大万朋传媒有限公司,07月20日，焊装车间反馈表面涂层脱落影响外观质量,外观,间隙超差,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
一体式后车架组件,联通时科网络有限公司,05月12日，发运场反馈密封条开胶导致漏水风险,外观,异响,1. 立即隔离可疑批次，共隔离175件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
ECU控制器,精芯传媒有限公司,12月04日，发运场反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,功能,连接强度不足,1. 启动整车排查，排查108台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
ECU控制器,精芯科技有限公司,11月09日，商品化区域反馈尺寸超差导致装配间隙过大,结构,异响,1. 立即隔离可疑批次，共隔离481件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
一体式后车架组件,巨奥信息有限公司,07月26日，商品化区域反馈密封条开胶导致漏水风险,电气,连接强度不足,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
ECU控制器,鸿睿思博网络有限公司,06月17日，总装车间反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,结构,异响,1. 立即隔离可疑批次，共隔离419件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
线束总成,黄石金承信息有限公司,02月09日，涂装车间反馈焊接虚焊导致结构强度不足,外观,连接强度不足,1. 立即隔离可疑批次，共隔离51件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
ECU控制器,合联电子传媒有限公司,09月26日，涂装车间反馈尺寸超差导致装配间隙过大,尺寸,连接强度不足,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
一体式后车架组件,浙大万朋信息有限公司,12月26日，商品化区域反馈尺寸超差导致装配间隙过大,外观,功能失效,1. 启动整车排查，排查107台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
车门铰链总成,晖来计算机信息有限公司,02月14日，发运场反馈尺寸超差导致装配间隙过大,电气,连接强度不足,1. 启动整车排查，排查97台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
顶盖内衬总成,凌颖信息信息有限公司,11月21日，涂装车间反馈电子元件短路导致功能失效,外观,连接强度不足,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
线束总成,图龙信息信息有限公司,02月28日，涂装车间反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,外观,外观缺陷,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
顶盖内衬总成,四通网络有限公司,01月24日，总装车间反馈电子元件短路导致功能失效,外观,外观缺陷,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
ECU控制器,信诚致远信息有限公司,04月18日，焊装车间反馈焊接虚焊导致结构强度不足,外观,连接强度不足,1. 立即隔离可疑批次，共隔离342件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
车门铰链总成,时刻科技有限公司,01月12日，涂装车间反馈表面涂层脱落影响外观质量,结构,外观缺陷,1. 启动整车排查，排查109台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
顶盖内衬总成,天开传媒有限公司,12月09日，总装车间反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,外观,异响,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
