序号,零部件名称,供应商名称,故障类型,故障现象,故障比例(%),根本原因
1087,前门密封条,昊嘉传媒有限公司,功能,色差,4.6,胶水固化参数设置错误
1088,车门铰链总成,时空盒数字信息有限公司,功能,短路,2,胶水固化参数设置错误
1089,前门密封条,创汇科技有限公司,功能,短路,3.8,胶水固化参数设置错误
1090,线束总成,襄樊地球村科技有限公司,材料,色差,0.8,来料批次材料硬度超标
1091,后顶盖外板组件,群英信息有限公司,材料,间隙超差,2.3,来料批次材料硬度超标
1092,ECU控制器,合联电子传媒有限公司,尺寸,间隙超差,1.3,胶水固化参数设置错误
1093,线束总成,昊嘉科技有限公司,功能,色差,2.1,来料批次材料硬度超标
1094,前门密封条,襄樊地球村科技有限公司,材料,间隙超差,0.9,来料批次材料硬度超标
1095,前门密封条,东方峻景网络有限公司,电气,短路,0.8,来料批次材料硬度超标
1096,线束总成,维旺明科技有限公司,尺寸,短路,1,胶水固化参数设置错误
1097,前门密封条,立信电子信息有限公司,材料,间隙超差,3.4,胶水固化参数设置错误
1098,前门密封条,恩悌科技有限公司,尺寸,间隙超差,4.6,设备定位销磨损导致加工位置度超差
1099,线束总成,国讯网络有限公司,尺寸,划伤,4.3,来料批次材料硬度超标
1100,线束总成,超艺信息有限公司,功能,压印,3.7,来料批次材料硬度超标
1101,线束总成,易动力网络有限公司,功能,压印,2.8,来料批次材料硬度超标
1102,线束总成,鸿睿思博信息有限公司,电气,短路,2.3,胶水固化参数设置错误
1103,前门密封条,立信电子信息有限公司,电气,划伤,0.3,胶水固化参数设置错误
1104,车门铰链总成,兰金电子科技有限公司,材料,压印,3.3,来料批次材料硬度超标
1105,后顶盖外板组件,开发区世创信息有限公司,尺寸,间隙超差,4.5,来料批次材料硬度超标
1106,后顶盖外板组件,开发区世创科技有限公司,外观,间隙超差,0.6,来料批次材料硬度超标
1107,车门铰链总成,合联电子科技有限公司,尺寸,短路,1.5,来料批次材料硬度超标
1108,ECU控制器,信诚致远传媒有限公司,尺寸,间隙超差,1.5,来料批次材料硬度超标
1109,前门密封条,通际名联网络有限公司,材料,间隙超差,3.4,设备定位销磨损导致加工位置度超差
1110,线束总成,晖来计算机信息有限公司,外观,压印,2.5,胶水固化参数设置错误
1111,车门铰链总成,诺依曼软件科技有限公司,尺寸,色差,0.2,来料批次材料硬度超标
1112,车门铰链总成,太极信息有限公司,电气,色差,3.3,来料批次材料硬度超标
1113,前门密封条,戴硕电子网络有限公司,外观,色差,0.7,设备定位销磨损导致加工位置度超差
1114,车门铰链总成,天开传媒有限公司,尺寸,压印,4.3,设备定位销磨损导致加工位置度超差
1115,线束总成,精芯传媒有限公司,功能,色差,4.8,来料批次材料硬度超标
1116,线束总成,浦华众城传媒有限公司,尺寸,色差,2.3,胶水固化参数设置错误
1117,车门铰链总成,超艺传媒有限公司,材料,划伤,3.3,胶水固化参数设置错误
1118,后顶盖外板组件,新宇龙信息传媒有限公司,尺寸,短路,1.3,胶水固化参数设置错误
1119,车门铰链总成,国讯网络有限公司,尺寸,间隙超差,0.5,来料批次材料硬度超标
1120,车门铰链总成,易动力科技有限公司,外观,间隙超差,0.3,胶水固化参数设置错误
1121,ECU控制器,银嘉信息有限公司,电气,间隙超差,3.8,设备定位销磨损导致加工位置度超差
1122,ECU控制器,襄樊地球村信息有限公司,外观,划伤,2.8,来料批次材料硬度超标
1123,车门铰链总成,戴硕电子传媒有限公司,外观,间隙超差,2.1,胶水固化参数设置错误
1124,前门密封条,图龙信息网络有限公司,材料,压印,5,胶水固化参数设置错误
1125,后顶盖外板组件,浙大万朋网络有限公司,材料,短路,4.3,设备定位销磨损导致加工位置度超差
1126,车门铰链总成,万迅电脑传媒有限公司,功能,短路,2.4,胶水固化参数设置错误
1127,线束总成,盟新信息有限公司,材料,压印,4.5,设备定位销磨损导致加工位置度超差
1128,后顶盖外板组件,良诺信息有限公司,外观,色差,3.9,设备定位销磨损导致加工位置度超差
1129,车门铰链总成,时刻网络有限公司,尺寸,划伤,2.3,设备定位销磨损导致加工位置度超差
1130,前门密封条,维旺明信息有限公司,电气,划伤,2.2,设备定位销磨损导致加工位置度超差
1131,车门铰链总成,毕博诚网络有限公司,功能,色差,1.2,来料批次材料硬度超标
1132,前门密封条,新宇龙信息网络有限公司,外观,间隙超差,2.9,设备定位销磨损导致加工位置度超差
1133,线束总成,雨林木风计算机传媒有限公司,电气,短路,4.3,设备定位销磨损导致加工位置度超差
1134,车门铰链总成,联通时科传媒有限公司,外观,色差,0.7,胶水固化参数设置错误
1135,车门铰链总成,迪摩网络有限公司,电气,短路,1.2,来料批次材料硬度超标
1136,后顶盖外板组件,创汇科技有限公司,材料,短路,3.7,设备定位销磨损导致加工位置度超差
1137,线束总成,四通传媒有限公司,电气,色差,3.1,胶水固化参数设置错误
1138,ECU控制器,数字100信息有限公司,外观,压印,4.9,来料批次材料硬度超标
1139,后顶盖外板组件,商软冠联科技有限公司,功能,间隙超差,2.9,胶水固化参数设置错误
1140,车门铰链总成,时刻科技有限公司,外观,间隙超差,4.7,胶水固化参数设置错误
1141,后顶盖外板组件,同兴万点科技有限公司,功能,划伤,0.6,胶水固化参数设置错误
1142,后顶盖外板组件,七喜科技有限公司,尺寸,压印,3.9,设备定位销磨损导致加工位置度超差
1143,线束总成,鸿睿思博网络有限公司,材料,短路,0.7,胶水固化参数设置错误
1144,前门密封条,巨奥信息有限公司,电气,间隙超差,0.3,来料批次材料硬度超标
1145,车门铰链总成,新格林耐特传媒有限公司,材料,划伤,2.3,胶水固化参数设置错误
1146,车门铰链总成,菊风公司信息有限公司,功能,划伤,3.8,设备定位销磨损导致加工位置度超差
1147,后顶盖外板组件,精芯科技有限公司,尺寸,色差,4.6,胶水固化参数设置错误
1148,后顶盖外板组件,七喜传媒有限公司,电气,压印,3,设备定位销磨损导致加工位置度超差
1149,后顶盖外板组件,趋势网络有限公司,材料,划伤,2.5,设备定位销磨损导致加工位置度超差
1150,车门铰链总成,南康信息有限公司,电气,划伤,2.5,胶水固化参数设置错误
1151,前门密封条,飞海科技网络有限公司,材料,短路,1.8,设备定位销磨损导致加工位置度超差
1152,后顶盖外板组件,太极传媒有限公司,功能,短路,2.1,胶水固化参数设置错误
1153,车门铰链总成,易动力科技有限公司,材料,色差,2,胶水固化参数设置错误
1154,车门铰链总成,兰金电子网络有限公司,尺寸,划伤,3.5,胶水固化参数设置错误
1155,后顶盖外板组件,时空盒数字传媒有限公司,外观,短路,0.6,胶水固化参数设置错误
1156,线束总成,凌云科技有限公司,尺寸,划伤,1.2,设备定位销磨损导致加工位置度超差
1157,车门铰链总成,易动力网络有限公司,材料,划伤,1.4,设备定位销磨损导致加工位置度超差
1158,前门密封条,济南亿次元信息有限公司,功能,短路,3.8,设备定位销磨损导致加工位置度超差
1159,车门铰链总成,信诚致远网络有限公司,材料,间隙超差,4.2,设备定位销磨损导致加工位置度超差
1160,后顶盖外板组件,时刻网络有限公司,尺寸,压印,2.7,来料批次材料硬度超标
1161,后顶盖外板组件,信诚致远网络有限公司,电气,间隙超差,1.8,来料批次材料硬度超标
1162,后顶盖外板组件,双敏电子信息有限公司,外观,短路,0.7,胶水固化参数设置错误
1163,车门铰链总成,太极网络有限公司,电气,划伤,2.2,来料批次材料硬度超标
1164,后顶盖外板组件,和泰科技有限公司,功能,间隙超差,1,来料批次材料硬度超标
1165,ECU控制器,新宇龙信息传媒有限公司,材料,色差,2.3,来料批次材料硬度超标
1166,车门铰链总成,凌颖信息传媒有限公司,外观,色差,4.7,设备定位销磨损导致加工位置度超差
1167,前门密封条,创联世纪信息有限公司,外观,短路,3.6,设备定位销磨损导致加工位置度超差
1168,后顶盖外板组件,中建创业科技有限公司,外观,压印,3.9,设备定位销磨损导致加工位置度超差
1169,车门铰链总成,银嘉科技有限公司,材料,色差,4.9,胶水固化参数设置错误
1170,线束总成,通际名联科技有限公司,材料,色差,3.5,胶水固化参数设置错误
1171,ECU控制器,立信电子网络有限公司,功能,色差,3.1,来料批次材料硬度超标
1172,后顶盖外板组件,商软冠联传媒有限公司,材料,色差,3.9,来料批次材料硬度超标
1173,ECU控制器,凌云传媒有限公司,材料,划伤,3.8,设备定位销磨损导致加工位置度超差
1174,车门铰链总成,时空盒数字网络有限公司,材料,间隙超差,4.7,胶水固化参数设置错误
1175,ECU控制器,MBP软件科技有限公司,电气,间隙超差,0.1,来料批次材料硬度超标
1176,车门铰链总成,数字100科技有限公司,尺寸,压印,0.7,胶水固化参数设置错误
1177,ECU控制器,诺依曼软件网络有限公司,材料,色差,0.7,胶水固化参数设置错误
1178,后顶盖外板组件,国讯科技有限公司,电气,压印,2.4,胶水固化参数设置错误
1179,线束总成,和泰网络有限公司,外观,间隙超差,3.1,设备定位销磨损导致加工位置度超差
1180,前门密封条,巨奥信息有限公司,功能,色差,3.7,胶水固化参数设置错误
1181,车门铰链总成,毕博诚网络有限公司,功能,压印,1.6,设备定位销磨损导致加工位置度超差
1182,ECU控制器,九方科技有限公司,材料,划伤,2.3,设备定位销磨损导致加工位置度超差
1183,车门铰链总成,华泰通安网络有限公司,尺寸,划伤,0.8,胶水固化参数设置错误
1184,前门密封条,七喜传媒有限公司,电气,色差,5,来料批次材料硬度超标
1185,前门密封条,戴硕电子网络有限公司,外观,色差,0.4,来料批次材料硬度超标
1186,ECU控制器,雨林木风计算机传媒有限公司,材料,压印,2.1,胶水固化参数设置错误
1187,ECU控制器,海创科技有限公司,尺寸,色差,1.5,来料批次材料硬度超标
1188,车门铰链总成,通际名联信息有限公司,材料,短路,2.7,设备定位销磨损导致加工位置度超差
1189,ECU控制器,昊嘉信息有限公司,外观,短路,4.4,设备定位销磨损导致加工位置度超差
1190,后顶盖外板组件,双敏电子传媒有限公司,材料,压印,4.6,来料批次材料硬度超标
1191,车门铰链总成,佳禾网络有限公司,尺寸,色差,2,来料批次材料硬度超标
1192,ECU控制器,群英科技有限公司,外观,划伤,1.3,设备定位销磨损导致加工位置度超差
1193,前门密封条,华成育卓传媒有限公司,材料,划伤,1.9,胶水固化参数设置错误
1194,后顶盖外板组件,海创网络有限公司,尺寸,压印,1.8,设备定位销磨损导致加工位置度超差
1195,后顶盖外板组件,创汇科技有限公司,尺寸,间隙超差,4.7,胶水固化参数设置错误
1196,线束总成,兰金电子信息有限公司,尺寸,压印,4.4,设备定位销磨损导致加工位置度超差
1197,车门铰链总成,开发区世创网络有限公司,功能,短路,0.8,来料批次材料硬度超标
1198,ECU控制器,诺依曼软件科技有限公司,外观,短路,1.6,来料批次材料硬度超标
1199,车门铰链总成,银嘉传媒有限公司,外观,间隙超差,3,来料批次材料硬度超标
1200,后顶盖外板组件,海创网络有限公司,电气,色差,2.1,来料批次材料硬度超标
1201,后顶盖外板组件,诺依曼软件科技有限公司,功能,间隙超差,1.7,来料批次材料硬度超标
1202,前门密封条,东方峻景传媒有限公司,材料,压印,4.1,来料批次材料硬度超标
1203,车门铰链总成,昊嘉科技有限公司,外观,短路,4.6,胶水固化参数设置错误
1204,车门铰链总成,七喜信息有限公司,外观,短路,2.3,设备定位销磨损导致加工位置度超差
1205,后顶盖外板组件,联软科技有限公司,功能,短路,3.2,设备定位销磨损导致加工位置度超差
1206,线束总成,双敏电子网络有限公司,电气,压印,3.3,设备定位销磨损导致加工位置度超差
1207,前门密封条,晖来计算机传媒有限公司,材料,色差,2,来料批次材料硬度超标
1208,线束总成,海创网络有限公司,功能,间隙超差,4.4,来料批次材料硬度超标
1209,后顶盖外板组件,诺依曼软件信息有限公司,外观,划伤,4.2,胶水固化参数设置错误
1210,前门密封条,昊嘉信息有限公司,尺寸,色差,4.6,胶水固化参数设置错误
1211,线束总成,凌云科技有限公司,电气,色差,1.6,设备定位销磨损导致加工位置度超差
1212,前门密封条,银嘉传媒有限公司,电气,短路,5,来料批次材料硬度超标
1213,车门铰链总成,恒聪百汇传媒有限公司,外观,色差,3.1,胶水固化参数设置错误
1214,ECU控制器,昂歌信息网络有限公司,材料,压印,4.2,设备定位销磨损导致加工位置度超差
1215,车门铰链总成,泰麒麟传媒有限公司,尺寸,划伤,4.5,来料批次材料硬度超标
1216,车门铰链总成,天益传媒有限公司,尺寸,压印,2.7,来料批次材料硬度超标
1217,线束总成,天益信息有限公司,材料,划伤,4.9,设备定位销磨损导致加工位置度超差
1218,线束总成,银嘉信息有限公司,尺寸,划伤,4.1,胶水固化参数设置错误
1219,线束总成,方正科技信息有限公司,材料,色差,1.1,设备定位销磨损导致加工位置度超差
1220,线束总成,双敏电子科技有限公司,电气,色差,3.1,设备定位销磨损导致加工位置度超差
1221,线束总成,彩虹信息有限公司,功能,压印,2.5,来料批次材料硬度超标
1222,线束总成,迪摩信息有限公司,电气,短路,4.5,来料批次材料硬度超标
1223,后顶盖外板组件,新格林耐特科技有限公司,外观,色差,2.3,胶水固化参数设置错误
1224,前门密封条,彩虹科技有限公司,电气,压印,3.1,胶水固化参数设置错误
1225,车门铰链总成,群英科技有限公司,材料,压印,4.9,设备定位销磨损导致加工位置度超差
1226,ECU控制器,迪摩科技有限公司,尺寸,间隙超差,0.2,设备定位销磨损导致加工位置度超差
1227,ECU控制器,诺依曼软件传媒有限公司,电气,短路,0.4,胶水固化参数设置错误
1228,车门铰链总成,飞利信网络有限公司,尺寸,色差,2.9,设备定位销磨损导致加工位置度超差
1229,线束总成,时刻科技有限公司,外观,压印,2.5,来料批次材料硬度超标
1230,车门铰链总成,华远软件传媒有限公司,尺寸,短路,4.1,设备定位销磨损导致加工位置度超差
1231,前门密封条,戴硕电子网络有限公司,尺寸,划伤,4.5,胶水固化参数设置错误
1232,线束总成,同兴万点科技有限公司,功能,压印,0.2,来料批次材料硬度超标
1233,ECU控制器,创亿网络有限公司,功能,压印,0.2,设备定位销磨损导致加工位置度超差
1234,后顶盖外板组件,泰麒麟信息有限公司,电气,划伤,1.2,设备定位销磨损导致加工位置度超差
1235,前门密封条,新宇龙信息信息有限公司,外观,短路,1.6,设备定位销磨损导致加工位置度超差
1236,后顶盖外板组件,双敏电子信息有限公司,功能,色差,4,胶水固化参数设置错误
1237,前门密封条,昂歌信息信息有限公司,尺寸,间隙超差,4.3,来料批次材料硬度超标
1238,前门密封条,晖来计算机科技有限公司,功能,压印,3.8,胶水固化参数设置错误
1239,车门铰链总成,济南亿次元网络有限公司,外观,间隙超差,3.8,来料批次材料硬度超标
1240,车门铰链总成,济南亿次元信息有限公司,尺寸,间隙超差,2.2,来料批次材料硬度超标
1241,ECU控制器,鑫博腾飞传媒有限公司,外观,短路,1.8,胶水固化参数设置错误
1242,车门铰链总成,快讯传媒有限公司,功能,短路,4.1,胶水固化参数设置错误
1243,车门铰链总成,戴硕电子传媒有限公司,功能,短路,1.3,来料批次材料硬度超标
1244,后顶盖外板组件,东方峻景科技有限公司,外观,短路,0.4,胶水固化参数设置错误
1245,ECU控制器,时刻信息有限公司,尺寸,压印,1.1,胶水固化参数设置错误
1246,车门铰链总成,富罳信息有限公司,功能,短路,1.1,设备定位销磨损导致加工位置度超差
1247,ECU控制器,联通时科网络有限公司,电气,短路,3.6,胶水固化参数设置错误
1248,线束总成,立信电子信息有限公司,外观,划伤,2.5,设备定位销磨损导致加工位置度超差
1249,车门铰链总成,黄石金承科技有限公司,尺寸,间隙超差,3.2,来料批次材料硬度超标
1250,前门密封条,南康网络有限公司,材料,划伤,2.5,设备定位销磨损导致加工位置度超差
1251,线束总成,戴硕电子网络有限公司,功能,划伤,4.7,设备定位销磨损导致加工位置度超差
1252,车门铰链总成,通际名联信息有限公司,电气,短路,2.4,来料批次材料硬度超标
1253,前门密封条,群英传媒有限公司,材料,色差,1.4,胶水固化参数设置错误
1254,线束总成,黄石金承传媒有限公司,电气,短路,1.8,来料批次材料硬度超标
1255,车门铰链总成,东方峻景传媒有限公司,外观,压印,2,设备定位销磨损导致加工位置度超差
1256,线束总成,和泰网络有限公司,功能,压印,1.3,设备定位销磨损导致加工位置度超差
1257,后顶盖外板组件,七喜网络有限公司,材料,压印,0.9,设备定位销磨损导致加工位置度超差
1258,车门铰链总成,济南亿次元科技有限公司,功能,色差,2,设备定位销磨损导致加工位置度超差
1259,ECU控制器,七喜信息有限公司,材料,划伤,3.9,来料批次材料硬度超标
1260,线束总成,晖来计算机传媒有限公司,功能,划伤,2.3,设备定位销磨损导致加工位置度超差
1261,车门铰链总成,恒聪百汇信息有限公司,电气,色差,3.1,来料批次材料硬度超标
1262,车门铰链总成,迪摩科技有限公司,外观,划伤,0.8,胶水固化参数设置错误
1263,线束总成,恩悌传媒有限公司,外观,色差,4.1,来料批次材料硬度超标
1264,前门密封条,联通时科科技有限公司,尺寸,划伤,0.6,来料批次材料硬度超标
1265,后顶盖外板组件,明腾传媒有限公司,外观,色差,3.8,来料批次材料硬度超标
1266,前门密封条,菊风公司网络有限公司,电气,压印,5,胶水固化参数设置错误
1267,车门铰链总成,MBP软件信息有限公司,外观,间隙超差,2.3,设备定位销磨损导致加工位置度超差
1268,线束总成,明腾传媒有限公司,电气,色差,2.2,设备定位销磨损导致加工位置度超差
1269,线束总成,襄樊地球村信息有限公司,尺寸,色差,4.8,来料批次材料硬度超标
1270,前门密封条,维旺明信息有限公司,电气,短路,2.2,胶水固化参数设置错误
1271,前门密封条,MBP软件信息有限公司,功能,色差,1.4,胶水固化参数设置错误
1272,线束总成,富罳科技有限公司,尺寸,间隙超差,3.3,设备定位销磨损导致加工位置度超差
1273,线束总成,太极信息有限公司,电气,间隙超差,4.4,设备定位销磨损导致加工位置度超差
1274,车门铰链总成,天开传媒有限公司,电气,划伤,4.5,胶水固化参数设置错误
1275,ECU控制器,创亿科技有限公司,外观,划伤,2.9,胶水固化参数设置错误
1276,后顶盖外板组件,兰金电子信息有限公司,尺寸,短路,2.6,胶水固化参数设置错误
1277,后顶盖外板组件,易动力科技有限公司,材料,短路,2.7,来料批次材料硬度超标
1278,ECU控制器,九方网络有限公司,尺寸,色差,4.4,设备定位销磨损导致加工位置度超差
1279,车门铰链总成,群英信息有限公司,尺寸,短路,3.9,设备定位销磨损导致加工位置度超差
1280,线束总成,飞海科技传媒有限公司,尺寸,间隙超差,4.1,来料批次材料硬度超标
1281,ECU控制器,昂歌信息网络有限公司,尺寸,划伤,2.5,设备定位销磨损导致加工位置度超差
1282,前门密封条,东方峻景信息有限公司,电气,色差,2,来料批次材料硬度超标
1283,车门铰链总成,双敏电子信息有限公司,功能,色差,3.8,胶水固化参数设置错误
1284,前门密封条,易动力信息有限公司,外观,划伤,2.2,来料批次材料硬度超标
1285,前门密封条,戴硕电子科技有限公司,尺寸,短路,0.6,来料批次材料硬度超标
1286,线束总成,迪摩网络有限公司,功能,色差,3.6,来料批次材料硬度超标
1287,前门密封条,凌云传媒有限公司,电气,色差,1.5,设备定位销磨损导致加工位置度超差
1288,车门铰链总成,MBP软件科技有限公司,外观,划伤,0.7,胶水固化参数设置错误
1289,后顶盖外板组件,维涛信息有限公司,电气,色差,1,胶水固化参数设置错误
1290,后顶盖外板组件,方正科技网络有限公司,尺寸,短路,1.2,胶水固化参数设置错误
1291,ECU控制器,彩虹传媒有限公司,材料,划伤,3.5,胶水固化参数设置错误
1292,线束总成,飞海科技网络有限公司,功能,间隙超差,4.5,胶水固化参数设置错误
1293,车门铰链总成,数字100科技有限公司,电气,短路,1.1,胶水固化参数设置错误
1294,ECU控制器,太极科技有限公司,材料,划伤,2.5,设备定位销磨损导致加工位置度超差
1295,后顶盖外板组件,合联电子网络有限公司,外观,色差,0.1,来料批次材料硬度超标
1296,后顶盖外板组件,戴硕电子网络有限公司,尺寸,短路,0.6,设备定位销磨损导致加工位置度超差
1297,前门密封条,合联电子信息有限公司,外观,色差,1.3,设备定位销磨损导致加工位置度超差
1298,ECU控制器,四通传媒有限公司,材料,压印,3.7,胶水固化参数设置错误
1299,ECU控制器,迪摩网络有限公司,功能,压印,2.1,来料批次材料硬度超标
1300,后顶盖外板组件,创亿信息有限公司,材料,色差,0.6,设备定位销磨损导致加工位置度超差
1301,ECU控制器,和泰网络有限公司,尺寸,压印,3.2,设备定位销磨损导致加工位置度超差
1302,后顶盖外板组件,彩虹传媒有限公司,材料,色差,2.1,设备定位销磨损导致加工位置度超差
1303,前门密封条,鸿睿思博科技有限公司,尺寸,划伤,1.3,设备定位销磨损导致加工位置度超差
1304,车门铰链总成,彩虹信息有限公司,材料,色差,4.8,来料批次材料硬度超标
1305,车门铰链总成,盟新信息有限公司,材料,色差,4.1,设备定位销磨损导致加工位置度超差
1306,线束总成,襄樊地球村科技有限公司,外观,划伤,5,设备定位销磨损导致加工位置度超差
1307,线束总成,思优信息有限公司,电气,压印,0.7,来料批次材料硬度超标
1308,车门铰链总成,联通时科科技有限公司,材料,压印,4.7,胶水固化参数设置错误
1309,后顶盖外板组件,盟新网络有限公司,外观,色差,1.7,胶水固化参数设置错误
1310,车门铰链总成,昂歌信息信息有限公司,外观,压印,0.8,设备定位销磨损导致加工位置度超差
1311,车门铰链总成,昊嘉网络有限公司,电气,短路,1.9,设备定位销磨损导致加工位置度超差
1312,ECU控制器,迪摩网络有限公司,电气,短路,2.1,来料批次材料硬度超标
1313,前门密封条,合联电子信息有限公司,电气,短路,2.1,来料批次材料硬度超标
1314,后顶盖外板组件,同兴万点传媒有限公司,电气,短路,3.8,来料批次材料硬度超标
1315,后顶盖外板组件,新宇龙信息网络有限公司,电气,短路,1.2,来料批次材料硬度超标
1316,前门密封条,四通网络有限公司,外观,划伤,1.9,胶水固化参数设置错误
1317,前门密封条,明腾科技有限公司,功能,划伤,4.9,来料批次材料硬度超标
1318,ECU控制器,趋势传媒有限公司,电气,短路,3.4,设备定位销磨损导致加工位置度超差
1319,前门密封条,黄石金承网络有限公司,外观,划伤,4,来料批次材料硬度超标
1320,ECU控制器,良诺网络有限公司,外观,划伤,3.6,来料批次材料硬度超标
1321,后顶盖外板组件,海创传媒有限公司,电气,划伤,1.5,设备定位销磨损导致加工位置度超差
1322,线束总成,联通时科传媒有限公司,电气,划伤,1.5,胶水固化参数设置错误
1323,后顶盖外板组件,富罳信息有限公司,外观,色差,1,设备定位销磨损导致加工位置度超差
1324,前门密封条,立信电子网络有限公司,尺寸,划伤,4.1,胶水固化参数设置错误
1325,前门密封条,毕博诚网络有限公司,尺寸,间隙超差,2.4,胶水固化参数设置错误
1326,ECU控制器,万迅电脑网络有限公司,外观,色差,2.7,来料批次材料硬度超标
1327,线束总成,兰金电子科技有限公司,功能,压印,1,胶水固化参数设置错误
1328,ECU控制器,华成育卓传媒有限公司,功能,色差,1.9,设备定位销磨损导致加工位置度超差
1329,后顶盖外板组件,鸿睿思博网络有限公司,材料,划伤,3.8,设备定位销磨损导致加工位置度超差
1330,车门铰链总成,精芯网络有限公司,功能,划伤,4.3,胶水固化参数设置错误
1331,车门铰链总成,时空盒数字信息有限公司,尺寸,压印,4.5,胶水固化参数设置错误
1332,车门铰链总成,黄石金承网络有限公司,材料,色差,4.5,胶水固化参数设置错误
1333,车门铰链总成,盟新科技有限公司,材料,划伤,2.3,设备定位销磨损导致加工位置度超差
1334,线束总成,昂歌信息科技有限公司,外观,划伤,2.9,胶水固化参数设置错误
1335,前门密封条,东方峻景科技有限公司,功能,短路,2,来料批次材料硬度超标
1336,线束总成,数字100网络有限公司,材料,划伤,2.3,胶水固化参数设置错误
1337,车门铰链总成,思优网络有限公司,外观,短路,4.1,来料批次材料硬度超标
1338,ECU控制器,飞海科技信息有限公司,材料,压印,4.9,设备定位销磨损导致加工位置度超差
1339,车门铰链总成,黄石金承网络有限公司,尺寸,压印,3.6,设备定位销磨损导致加工位置度超差
1340,前门密封条,时刻传媒有限公司,功能,色差,4.9,来料批次材料硬度超标
1341,车门铰链总成,新格林耐特科技有限公司,尺寸,间隙超差,1.1,胶水固化参数设置错误
1342,车门铰链总成,九方信息有限公司,材料,间隙超差,3.3,来料批次材料硬度超标
1343,后顶盖外板组件,飞海科技信息有限公司,功能,压印,0.5,来料批次材料硬度超标
1344,ECU控制器,艾提科信信息有限公司,外观,间隙超差,3.7,设备定位销磨损导致加工位置度超差
1345,车门铰链总成,快讯传媒有限公司,外观,划伤,3.2,胶水固化参数设置错误
1346,后顶盖外板组件,盟新网络有限公司,功能,色差,1.9,胶水固化参数设置错误
1347,ECU控制器,超艺科技有限公司,外观,划伤,4.1,来料批次材料硬度超标
1348,线束总成,和泰网络有限公司,外观,划伤,4.8,胶水固化参数设置错误
1349,车门铰链总成,济南亿次元网络有限公司,功能,色差,0.8,胶水固化参数设置错误
1350,前门密封条,易动力传媒有限公司,材料,划伤,4.6,来料批次材料硬度超标
1351,车门铰链总成,思优传媒有限公司,外观,短路,0.2,胶水固化参数设置错误
1352,后顶盖外板组件,凌云传媒有限公司,功能,划伤,2.2,设备定位销磨损导致加工位置度超差
1353,前门密封条,良诺科技有限公司,外观,划伤,3.5,胶水固化参数设置错误
1354,前门密封条,盟新传媒有限公司,功能,色差,4.7,来料批次材料硬度超标
1355,后顶盖外板组件,巨奥网络有限公司,电气,间隙超差,3.8,设备定位销磨损导致加工位置度超差
1356,ECU控制器,万迅电脑网络有限公司,尺寸,压印,4,来料批次材料硬度超标
1357,ECU控制器,菊风公司信息有限公司,尺寸,压印,2.4,来料批次材料硬度超标
1358,车门铰链总成,开发区世创信息有限公司,材料,划伤,4.8,设备定位销磨损导致加工位置度超差
1359,后顶盖外板组件,信诚致远信息有限公司,外观,间隙超差,4,胶水固化参数设置错误
1360,前门密封条,联通时科网络有限公司,材料,间隙超差,4.6,来料批次材料硬度超标
1361,后顶盖外板组件,同兴万点信息有限公司,电气,划伤,4.8,设备定位销磨损导致加工位置度超差
1362,后顶盖外板组件,迪摩信息有限公司,功能,压印,4.5,设备定位销磨损导致加工位置度超差
1363,车门铰链总成,浙大万朋科技有限公司,外观,色差,4.6,来料批次材料硬度超标
1364,前门密封条,良诺信息有限公司,尺寸,划伤,0.3,胶水固化参数设置错误
1365,线束总成,新宇龙信息网络有限公司,功能,间隙超差,0.7,来料批次材料硬度超标
1366,前门密封条,万迅电脑网络有限公司,功能,划伤,3.4,设备定位销磨损导致加工位置度超差
1367,后顶盖外板组件,维涛传媒有限公司,电气,间隙超差,4.7,胶水固化参数设置错误
1368,线束总成,超艺信息有限公司,功能,色差,1.6,来料批次材料硬度超标
1369,线束总成,晖来计算机传媒有限公司,功能,划伤,2.2,来料批次材料硬度超标
1370,车门铰链总成,和泰传媒有限公司,电气,间隙超差,2.8,胶水固化参数设置错误
1371,车门铰链总成,泰麒麟科技有限公司,外观,划伤,3.4,来料批次材料硬度超标
1372,线束总成,创汇科技有限公司,电气,压印,1,胶水固化参数设置错误
1373,车门铰链总成,恩悌信息有限公司,电气,压印,4,来料批次材料硬度超标
1374,线束总成,趋势传媒有限公司,电气,色差,3.6,胶水固化参数设置错误
1375,前门密封条,巨奥信息有限公司,尺寸,间隙超差,0.3,来料批次材料硬度超标
1376,前门密封条,思优科技有限公司,功能,间隙超差,1,设备定位销磨损导致加工位置度超差
1377,ECU控制器,万迅电脑信息有限公司,电气,划伤,2.1,设备定位销磨损导致加工位置度超差
1378,线束总成,商软冠联传媒有限公司,材料,色差,0.4,来料批次材料硬度超标
1379,后顶盖外板组件,创联世纪网络有限公司,材料,短路,2.2,来料批次材料硬度超标
1380,车门铰链总成,中建创业科技有限公司,材料,间隙超差,0.1,胶水固化参数设置错误
1381,后顶盖外板组件,群英传媒有限公司,外观,短路,4.2,来料批次材料硬度超标
1382,车门铰链总成,国讯信息有限公司,外观,间隙超差,0.5,来料批次材料硬度超标
1383,ECU控制器,昊嘉科技有限公司,尺寸,色差,3.6,胶水固化参数设置错误
1384,后顶盖外板组件,维涛科技有限公司,尺寸,短路,1.3,设备定位销磨损导致加工位置度超差
